Spipo1G0075200	SWLF01000119.1	100.000	83	0	0	550	798	4625360	4625608	3.55e-167	212
Spipo1G0075200	SWLF01000119.1	90.141	71	7	0	228	440	4624847	4625059	3.55e-167	159
Spipo1G0075200	SWLF01000119.1	95.918	49	2	0	416	562	4625125	4625271	3.55e-167	120
Spipo1G0075200	SWLF01000119.1	100.000	39	0	0	120	236	4624665	4624781	3.55e-167	105
Spipo1G0075200	SWLF01000119.1	100.000	40	0	0	2	121	4624464	4624583	3.55e-167	70.3
Spipo1G0075200	SWLF01000119.1	100.000	82	0	0	797	552	4625607	4625362	1.17e-141	198
Spipo1G0075200	SWLF01000119.1	96.000	50	2	0	554	405	4625263	4625114	1.17e-141	115
Spipo1G0075200	SWLF01000119.1	100.000	40	0	0	120	1	4624582	4624463	1.17e-141	101
Spipo1G0075200	SWLF01000119.1	75.439	57	14	0	276	106	4624821	4624651	1.17e-141	100
Spipo1G0075200	SWLF01000119.1	100.000	24	0	0	388	317	4625007	4624936	1.17e-141	65.7
Spipo1G0075200	SWLF01000119.1	100.000	61	0	0	235	417	4624854	4625036	5.44e-97	147
Spipo1G0075200	SWLF01000119.1	94.000	50	3	0	415	564	4625124	4625273	5.44e-97	114
Spipo1G0075200	SWLF01000119.1	97.500	40	1	0	121	240	4624666	4624785	5.44e-97	103
Spipo1G0075200	SWLF01000119.1	100.000	21	0	0	60	122	4624522	4624584	5.44e-97	47.8
Spipo1G0075200	SWLF01000119.1	84.615	78	12	0	417	184	4625036	4624803	5.86e-89	152
Spipo1G0075200	SWLF01000119.1	100.000	47	0	0	555	415	4625264	4625124	5.86e-89	108
Spipo1G0075200	SWLF01000119.1	100.000	56	0	0	798	631	4625608	4625441	5.86e-89	96.4
Spipo1G0075200	SWLF01000119.1	100.000	10	0	0	579	550	4625389	4625360	5.86e-89	28.6
Spipo1G0075200	SWLF01000119.1	66.337	101	34	0	440	138	4625059	4624757	5.17e-63	148
Spipo1G0075200	SWLF01000119.1	100.000	42	0	0	553	428	4625262	4625137	5.17e-63	91.3
Spipo1G0075200	SWLF01000119.1	100.000	40	0	0	122	3	4624584	4624465	5.17e-63	71.6
Spipo1G0075200	SWLF01000119.1	100.000	40	0	0	119	238	4624664	4624783	1.90e-57	102
Spipo1G0075200	SWLF01000119.1	91.429	35	3	0	408	512	4625117	4625221	1.90e-57	82.6
Spipo1G0075200	SWLF01000119.1	100.000	32	0	0	323	418	4624942	4625037	1.90e-57	50.6
Spipo1G0075200	SWLF01000119.1	100.000	15	0	0	236	280	4624855	4624899	1.90e-57	35.9
Spipo1G0075200	SWLF01000119.1	100.000	21	0	0	61	123	4624523	4624585	1.90e-57	25.4
Spipo1G0075200	SWLF01000119.1	100.000	38	0	0	232	119	4624777	4624664	5.76e-34	100
Spipo1G0075200	SWLF01000119.1	100.000	40	0	0	121	2	4624583	4624464	5.76e-34	63.8
Spipo1G0075200	SWLF01000119.1	80.769	52	10	0	275	120	4624820	4624665	1.95e-19	96.4
Spipo1G0075200	SWLF01000075.1	52.381	21	10	0	178	240	1793208	1793146	1.63e-06	36.3
Spipo1G0075200	SWLF01000075.1	40.909	22	13	0	232	297	1793066	1793001	1.63e-06	25.8
Spipo1G0075200	SWLF01000075.1	100.000	8	0	0	118	141	1793265	1793242	1.63e-06	24.9
